Timestamp,CarRoll,CarPitch,CarYaw,RollGrad,ax,ay,az,ForwardAccel,LateralAccel,HeaveAccel,PitchRate,RollRate,YawRate,qw,qx,qy,qz,ShockPot1,ShockPot2
1970-01-01 00:00:03.857,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.69,2.44
1970-01-01 00:00:03.978,167.60,85.19,-0.24,0.00,2.07,-0.01,9.70,-0.09,-0.01,-0.01,0.00,0.00,0.00,0.08,0.73,0.07,-0.67,2.69,1.96
1970-01-01 00:00:04.079,167.70,85.15,-0.12,0.00,1.99,-0.01,9.66,-0.09,-0.01,-0.01,-0.45,0.34,0.00,0.08,0.73,0.07,-0.67,2.69,1.96
1970-01-01 00:00:04.199,167.45,85.17,-0.41,0.00,1.99,-0.01,9.66,0.00,-0.01,-0.01,0.11,-0.22,0.11,0.08,0.73,0.07,-0.67,2.69,1.96
1970-01-01 00:00:04.308,167.15,85.24,-0.73,0.00,2.03,-0.01,9.66,-0.05,-0.01,-0.01,0.22,0.22,-0.11,0.08,0.73,0.07,-0.67,2.69,1.96
1970-01-01 00:00:04.410,167.01,85.27,-0.86,0.00,2.07,-0.01,9.66,0.07,-0.01,-0.01,-0.11,0.34,0.22,0.08,0.73,0.07,-0.67,2.69,1.96
1970-01-01 00:00:04.518,167.11,85.30,-0.74,0.00,2.15,-0.01,9.66,0.07,-0.01,-0.01,-0.78,0.34,0.67,0.08,0.73,0.07,-0.67,2.69,2.20
1970-01-01 00:00:04.619,167.59,85.21,-0.25,0.00,2.03,-0.01,9.66,0.07,-0.01,-0.01,-0.11,0.78,0.22,0.08,0.73,0.07,-0.67,2.69,1.96
1970-01-01 00:00:04.730,167.59,85.21,-0.25,0.00,1.92,-0.01,9.70,-0.14,-0.01,0.02,-1.45,1.45,1.12,0.08,0.73,0.07,-0.67,2.69,1.96
1970-01-01 00:00:04.839,172.12,84.89,4.74,776.16,1.99,0.11,9.70,-0.02,0.11,0.04,-3.13,4.81,1.68,0.08,0.73,0.08,-0.67,2.69,1.96
1970-01-01 00:00:04.949,171.23,85.05,3.74,2721.49,2.19,0.03,9.66,-0.07,0.03,-0.00,1.01,-1.68,-1.45,0.08,0.73,0.08,-0.67,2.69,1.96
1970-01-01 00:00:05.049,171.23,85.05,3.74,1209.55,2.19,0.07,9.59,0.01,0.07,-0.01,0.11,-0.34,0.22,0.08,0.73,0.08,-0.67,2.69,1.96
