Timestamp,CarPitch,CarRoll,CarYaw,LatAccel,Ay,ForwardAccel,LinAccel,RGrad,ShockPot1,ShockPot2,GyX
1970-01-01 00:00:03.824,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.69,2.44,0.00
1970-01-01 00:00:03.888,0.00,0.00,0.00,0.66,-1.98,9.73,0.00,0.00,2.69,1.96,0.00
1970-01-01 00:00:03.957,0.00,0.00,0.00,0.70,-1.98,9.66,-0.02,0.00,2.69,1.96,0.04
1970-01-01 00:00:04.045,-11.41,-3.63,-89.04,0.70,-1.95,9.62,-0.02,-5.22,2.69,1.96,0.00
1970-01-01 00:00:04.126,-11.44,-3.72,-89.04,0.70,-1.95,9.73,0.07,-5.35,2.69,1.96,0.02
1970-01-01 00:00:04.196,-11.44,-3.72,-89.04,0.66,-1.98,9.70,0.07,-5.64,2.69,1.96,-0.01
1970-01-01 00:00:04.266,-11.44,-3.70,-89.02,0.62,-1.95,9.70,0.07,-5.96,2.69,1.96,0.00
1970-01-01 00:00:04.336,-11.42,-3.67,-89.00,0.66,-1.98,9.70,0.07,-5.56,2.69,1.96,0.01
1970-01-01 00:00:04.406,-11.40,-3.70,-88.99,0.66,-1.98,9.70,0.07,-5.60,2.69,1.96,0.00
1970-01-01 00:00:04.486,-11.28,-3.81,-88.94,0.62,-2.02,9.77,0.07,-6.13,2.69,1.96,0.02
1970-01-01 00:00:04.565,-11.15,-3.77,-88.91,0.62,-1.83,9.80,0.07,-6.07,2.69,1.96,0.03
1970-01-01 00:00:04.636,-10.93,-3.72,-88.82,0.58,-2.02,9.93,0.07,-6.39,2.69,1.96,0.06
1970-01-01 00:00:04.706,-10.45,-3.49,-88.70,0.66,-1.64,9.38,0.07,-5.29,2.44,1.96,0.19
1970-01-01 00:00:04.776,-10.43,-3.15,-88.75,0.62,-1.75,9.66,0.07,-5.07,2.69,1.96,-0.01
1970-01-01 00:00:04.846,-10.49,-3.33,-88.79,0.54,-1.79,9.85,0.07,-6.13,2.69,1.96,-0.02
1970-01-01 00:00:04.917,-10.47,-3.45,-88.84,0.58,-1.75,9.73,0.07,-5.93,2.69,1.96,0.00
1970-01-01 00:00:04.986,-10.46,-3.30,-88.87,0.58,-1.79,9.70,0.07,-5.68,2.69,1.96,-0.00
1970-01-01 00:00:05.056,-10.42,-3.20,-88.86,0.66,-1.71,9.54,0.07,-4.85,2.69,1.96,-0.01
1970-01-01 00:00:05.136,-10.12,-3.41,-88.72,0.70,-0.57,8.96,0.07,-4.91,2.69,1.96,0.03
1970-01-01 00:00:05.215,-9.94,-3.60,-88.53,0.50,-1.41,9.58,0.07,-7.15,2.69,1.96,0.01
1970-01-01 00:00:05.286,-9.89,-3.60,-88.37,0.66,-1.68,9.81,0.07,-5.46,2.69,1.96,0.00
1970-01-01 00:00:05.356,-9.81,-3.65,-88.25,0.58,-1.68,9.66,0.07,-6.27,2.69,1.96,0.02
1970-01-01 00:00:05.426,-9.78,-3.70,-88.22,0.70,-1.64,9.70,0.07,-5.32,2.69,1.96,0.00
1970-01-01 00:00:05.496,-9.86,-3.77,-88.26,0.66,-1.60,9.66,0.07,-5.71,2.69,1.96,-0.02
1970-01-01 00:00:05.576,-9.99,-3.92,-88.30,0.62,-1.75,9.89,0.07,-6.32,2.44,1.96,-0.03
1970-01-01 00:00:05.647,-9.91,-4.12,-88.25,0.70,-1.52,10.04,0.07,-5.93,2.69,1.96,0.01
1970-01-01 00:00:05.716,-9.32,-4.60,-88.01,0.89,-1.56,9.39,0.07,-5.19,2.44,1.96,0.13
1970-01-01 00:00:05.786,-8.74,-4.80,-87.85,0.93,-1.37,9.50,0.07,-5.19,2.69,1.71,0.13
1970-01-01 00:00:05.856,-8.46,-4.62,-87.79,0.70,-1.33,10.00,0.07,-6.65,2.69,1.96,0.05
1970-01-01 00:00:05.926,-7.96,-4.88,-87.70,0.73,-1.33,9.93,0.07,-6.64,2.69,1.96,0.11
1970-01-01 00:00:06.017,-7.31,-5.15,-87.63,0.89,-1.14,9.84,0.02,-5.81,2.69,1.96,-0.01
1970-01-01 00:00:06.083,-7.31,-5.15,-87.63,0.89,-1.10,9.70,0.02,-5.81,2.69,1.96,0.07
1970-01-01 00:00:06.156,-6.47,-4.49,-87.73,0.93,-1.14,9.62,0.02,-4.85,2.69,1.96,0.02
1970-01-01 00:00:06.234,-7.19,-3.68,-87.90,0.58,-1.18,9.93,0.02,-6.32,2.69,1.96,-0.15
1970-01-01 00:00:06.306,-7.19,-3.68,-87.90,0.47,-1.14,9.96,0.02,-7.85,2.69,1.96,0.00
1970-01-01 00:00:06.375,-7.05,-3.65,-87.91,0.66,-1.18,9.66,0.02,-5.53,2.69,1.96,0.06
1970-01-01 00:00:06.455,-7.15,-3.53,-87.93,0.62,-1.18,9.88,0.02,-5.68,2.69,1.96,0.00
1970-01-01 00:00:06.523,-7.15,-3.53,-87.93,0.58,-1.22,9.80,0.02,-6.06,2.69,1.96,0.01
1970-01-01 00:00:06.596,-7.15,-3.53,-87.93,0.39,-1.07,9.96,0.02,-9.03,2.69,1.96,0.38
1970-01-01 00:00:06.664,-4.92,-4.68,-87.82,0.81,-0.91,9.50,0.02,-5.76,2.69,2.20,0.42
1970-01-01 00:00:06.745,-4.19,-4.41,-87.62,0.81,-0.84,9.54,0.02,-5.43,2.44,1.96,-0.02
1970-01-01 00:00:06.812,-4.19,-4.41,-87.62,0.93,-0.95,9.35,0.02,-4.76,2.69,1.96,-0.32
1970-01-01 00:00:06.887,-7.79,-1.63,-88.55,0.27,-1.64,9.80,0.02,-5.97,2.69,1.96,-0.95
1970-01-01 00:00:06.954,-7.79,-1.63,-88.55,0.05,-1.64,10.65,0.02,-34.80,2.69,1.96,-0.20
1970-01-01 00:00:07.027,-9.45,-2.31,-89.22,0.01,-1.68,10.11,0.54,0.00,2.69,1.96,-0.44
1970-01-01 00:00:07.096,-11.04,-0.82,-89.48,-0.07,-2.33,9.70,0.54,11.73,2.69,1.96,-0.44
1970-01-01 00:00:07.166,-12.02,0.34,-89.09,0.85,-2.41,9.96,0.54,0.40,2.69,1.96,-0.19
1970-01-01 00:00:07.237,-14.88,-2.15,-88.91,-0.45,-3.32,10.85,0.54,4.75,2.69,1.96,-0.60
1970-01-01 00:00:07.307,-16.18,-2.21,-88.97,-0.03,-3.90,9.12,0.54,70.78,2.69,1.96,-0.34
1970-01-01 00:00:07.375,-16.13,-0.41,-87.84,0.62,-1.18,9.66,0.54,-0.67,2.69,1.96,4.78
1970-01-01 00:00:07.466,-19.34,-0.03,-86.53,-0.22,-2.90,7.67,13.32,0.14,2.69,2.20,-1.69
