Timestamp,CarPitch,CarRoll,CarYaw,LatAccel,Ay,ForwardAccel,LinAccel,RGrad,ShockPot,GyX
2025-05-24 15:38:04.598,-5.12,1.75,166.40,-0.12,0.05,9.34,-0.25,-14.94,2.69,-0.02
2025-05-24 15:38:04.697,-5.12,1.75,166.40,-0.50,0.05,9.18,-0.25,-3.50,2.69,0.03
2025-05-24 15:38:04.807,-4.12,0.84,132.81,-0.23,0.28,8.96,-0.25,-3.60,2.69,-0.04
2025-05-24 15:38:04.908,-4.12,0.84,132.81,-0.00,-0.68,9.68,0.75,0.00,2.69,-0.05
2025-05-24 15:38:04.008,-4.12,0.84,132.81,0.04,-0.52,9.76,-0.10,24.00,2.69,-0.00
2025-05-24 15:38:04.117,-4.12,0.84,132.81,-0.23,0.43,9.50,0.13,-3.60,2.69,0.05
2025-05-24 15:38:04.203,-4.12,0.84,132.81,-0.23,0.43,9.50,0.13,-3.60,2.69,0.40
2025-05-24 15:38:05.303,-4.12,0.84,132.81,-0.16,0.28,10.07,0.13,-5.40,2.69,-0.03
2025-05-24 15:38:05.406,-4.12,0.84,132.81,-0.20,-0.18,9.57,0.13,-4.32,2.44,0.00
2025-05-24 15:38:05.508,-4.12,0.84,132.81,-0.35,0.09,9.07,-0.07,-2.43,2.69,0.05
2025-05-24 15:38:05.617,-3.20,1.39,135.75,-0.16,-0.37,9.50,-0.07,-8.88,2.69,0.01
2025-05-24 15:38:05.707,-3.20,1.39,135.75,-0.31,0.01,9.38,-0.07,-4.50,2.69,-0.04
2025-05-24 15:38:05.807,-3.20,1.39,135.75,-0.31,0.24,9.15,-0.07,-4.50,2.69,0.04
2025-05-24 15:38:05.917,-3.20,1.39,135.75,-0.39,0.05,9.15,-0.31,-3.59,2.44,-0.15
2025-05-24 15:38:05.018,-3.20,1.39,135.75,-0.31,0.05,9.22,-0.31,-4.50,2.69,-0.15
2025-05-24 15:38:05.127,-2.76,1.29,136.41,-0.23,-0.03,9.34,-0.31,-5.48,2.69,0.01
2025-05-24 15:38:05.212,-2.76,1.29,136.41,-0.23,-0.03,9.34,-0.31,-5.48,2.44,-0.06
2025-05-24 15:38:06.314,-2.76,1.29,136.41,-0.20,-0.11,9.42,-0.31,-6.58,2.69,0.00
2025-05-24 15:38:06.415,-2.76,1.29,136.41,-0.23,-0.07,9.45,-0.31,-5.48,2.69,-0.03
2025-05-24 15:38:06.514,-2.76,1.29,136.41,-0.23,-0.07,9.45,0.13,-5.48,2.69,0.02
2025-05-24 15:38:06.628,-1.00,1.52,136.44,-0.27,-0.22,9.61,0.13,-5.64,2.69,0.02
2025-05-24 15:38:06.717,-1.00,1.52,136.44,-0.27,0.01,9.41,0.13,-5.64,2.69,-0.00
2025-05-24 15:38:06.817,-1.00,1.52,136.44,-0.27,-0.07,9.41,0.13,-5.64,2.69,0.00
2025-05-24 15:38:06.928,-0.85,1.53,136.45,-0.27,0.01,9.38,0.13,-5.67,2.69,-0.00
2025-05-24 15:38:06.028,-0.77,1.55,136.45,-0.27,0.01,9.38,0.13,-5.74,2.69,0.00
2025-05-24 15:38:06.138,-0.69,1.55,136.44,-0.27,0.01,9.38,0.08,-5.77,2.44,0.01
2025-05-24 15:38:06.226,-0.69,1.55,136.44,-0.23,0.01,9.34,0.08,-6.63,2.69,0.00
2025-05-24 15:38:07.324,-0.69,1.55,136.44,-0.27,0.01,9.38,0.08,-5.77,2.69,0.00
2025-05-24 15:38:07.426,-0.69,1.55,136.44,-0.27,-0.03,9.42,0.08,-5.77,2.69,-0.00
2025-05-24 15:38:07.528,-0.69,1.55,136.44,-0.27,0.01,9.34,0.08,-5.77,2.69,0.01
2025-05-24 15:38:07.624,-0.69,1.55,136.44,-0.27,0.01,9.34,-0.05,-5.77,2.69,-0.03
2025-05-24 15:38:07.729,-0.69,1.55,136.44,-0.31,-0.03,9.50,-0.05,-5.04,2.69,-0.03
2025-05-24 15:38:07.828,-0.69,1.55,136.44,-0.27,-0.03,9.34,-0.05,-5.77,2.69,-0.01
2025-05-24 15:38:07.928,-0.69,1.55,136.44,-0.27,-0.03,9.34,-0.05,-5.77,2.44,0.00
2025-05-24 15:38:07.048,-0.26,1.67,136.46,-0.23,0.01,9.34,0.04,-7.11,2.44,0.01
2025-05-24 15:38:07.148,-0.26,1.64,136.46,-0.58,0.13,9.30,0.04,-2.84,2.69,-0.01
2025-05-24 15:38:07.233,-0.26,1.64,136.46,-0.58,0.13,9.30,0.04,-2.84,2.69,0.00
